"Hi, is there anyone here to help?",Are there any sides besides fries?,How much does a family meal cost?,I’d like to use my card to pay.,Can I get a large Sprite Zero with 6 Nuggets?,I’d like to get a Whopper only lettuce,What's inside a 20 Nuggets,I’m finished with my selection.,Can someone help me place a complicated order?,,,,,,,,,,,,
"Good morning, I am here to order.",Do you have chicken burgers?,,I’ll use cash to pay.,"Yes, I'd like a Smoky Bacon Whopper with some BBQ Sauce.","Yes, I'd like a Smoky Bacon Whopper with only smoky mayo, bacon and cheese",Is there mustard in the Classic Double Melt,"Yes, I’m good with this.",Is there anyone who can help me with the ingredients?,,,,,,,,,,,,
"Hi, are you ready to take my order?",,How much is a grilled chicken sandwich?,I only have a card to pay.,"Could you bring me a Chimichuri Angus with a large Fanta, please?",Could you bring me a Chimichuri Angus plain,Do you use ketchup in the PB Whopper,"All done, thank you.","I need help adjusting my order, can you get someone to help?",,,,,,,,,,,,
"Hello, I have a question about ordering.",Do you have large fries?,What’s the cost of a breakfast wrap?,I can pay only by cash.,I’ll take a Vegan Royale and a side of Cheese Loaded Fries.,I’ll take a Vegan Royale only patty.,Does the Ham Burger have pickles,"Yes, that’s all for today.",Can I get someone to explain the drink sizes to me?,,,,,,,,,,,,
"Hi, could you help me with my selection?",,How much are your spicy items?,"I don’t have cash, but I can pay by card.",Could I have 4 Nuggets with some Barbeque Sauce and a large Coke?,,What are the ingredients of the Diet Cocacola,That’s the total I’d like.,I need some assistance with this offer.,,,,,,,,,,,,
"Hey there, can I get started on my order?",What sizes do your drinks come in?,How much is a large coffee?,Can I pay for my order with cash instead of card?,I’d like a Classic Double Melt and 20 Chilli Bites with a Coca-Cola Classic.,I’d like a Classic Double Melt plain.,Can you tell me what's in a Tea,"I’m all done, thank you for your help.",Can someone come and take my order directly?,,,,,,,,,,,,
"Hi, is the till assistant working?",Do you offer ice cream?,Is there an additional charge for sauces?,Can I use my gift card to pay?,"Yes, I’d like a Chicken Royale meal with a Fanta and some Large Fries.","Yes, I’d like a Chicken Royale with cheese and bacon.",What's inside a Sprite Zero,"Yes, I’ve made my choices.",I need assistance with ordering online.,,,,,,,,,,,,
"Hello, do you have time for an order?",What kind of coffee do you serve?,How much is a combo meal?,Do you accept prepaid cards?,Please give me 4 Chilli Bites and a large Sprite Zero.,Please give me 4 Chilli Bites and a large Sprite Zero.,Is there mayonnaise in the Cheese Loaded Fries,"That’s all, thanks for taking my order.",Could someone assist me with an allergen-related question?,,,,,,,,,,,,
"Hey, I would like to place a quick order.",Do you sell bottled water?,How much do kids' meals cost?,"I only have cash, can I still pay?",I want a Bacon Double X L with 5 Doritos and a bottle of water.,I want a Bacon Double X L with heavy cheese and bacon,What goes into making a Chicken Royale,No more items for me.,"I need help figuring out the best deal, can someone assist me?",,,,,,,,,,,,
"Good afternoon, are you available to assist?",,How much is the cheapest burger?,I can only pay with cash.,"Could I get 6 Nuggets and a Classic Double Melt with Mayo, please?","Could I get a Classic Double Melt with Mayo, please?",Do you use bacon in the Bacon Double X L,That’s it for now.,Could I speak with a staff member about the menu options?,,,,,,,,,,,,
"Hello, I would like some assistance with my order.",,How much is a side of fries?,"I don’t have a card, can I pay in cash?",I would love a Whopper with a Diet Coca-Cola and some Fries.,I would love a Whopper with only ketchup and lettuce,Does the Smoky bacon whopper have smoky mayo,"I don’t need anything else, thanks.",I have a specific request for my food; can someone help me with it?,,,,,,,,,,,,
"Hello, do you have meal deals right now?",What time do you stop serving breakfast?,What’s the price for a Coke Zero?,I prefer paying with cash.,"Yes, I’d like a PB Whopper and 3 Chilli Bites, please.","Yes, I’d like a plain PB Whopper ",Are there any tomatoes in the Crispy Chicken,I’ve selected all I want.,Can I have someone help me make a special request for my meal?,,,,,,,,,,,,
"Hey, I am ready to make an order.",Do you sell veggie wraps?,How much are your breakfast items?,"I’ll pay with cash only, is that okay?",Please give me a Steakhouse Angus with some Chimichuri Loaded Fries.,Please give me a Steakhouse Angus more bacon ,What are the ingredients of the 4 Chilli Bites,That’s the complete selection.,Could someone please explain the kids' menu to me?,,,,,,,,,,,,
"Hi there, I would like to start my order now.",,How much is an extra patty on a burger?,How much is the change if I pay with cash?,I want a Chicken Royale and a small Sprite Zero.,I want a double Chicken Royale,Is there lettuce in the Double Whopper,"Yes, I’m set with this order.",Can you send someone over to help me choose a meal?,,,,,,,,,,,,
"Hi, is this the right place to order?",,Do you charge for extra pickles?,Can I pay in cash for this order?,Could you get me a Vegan Royale with some Cheese Loaded Fries and a Fanta?,Could you get me a double Vegan Royale with some Cheese,What goes into making a Cocacola,"I’m done, that’s all.",Could someone clarify the ingredients for me?,,,,,,,,,,,,
"Hi, is the till assistant available for my order?",Do you have any dairy-free options?,How much is the spicy chicken burger?,I’d like to pay in cash.,"I’d like 9 Nuggets and some Chimichuri Loaded Fries, please.","I’d like Chimichuri Loaded Fries with extra cheese sauce, please.",Can you share the ingredients for the Chimichuri Angus,,Can I speak to a staff member to discuss my preferences?,,,,,,,,,,,,
"Good evening, can you help me finalize my meal?",Are your fries salted?,How much do you charge for bottled drinks?,Do you take cash for payment?,I'll have a Bacon Double with some large fries and a Diet Coca-Cola.,I'll have a Bacon Double and add some more cheese in it,What are the ingredients of the Spicy Mayo,,Could you find someone who can help me customize my meal?,,,,,,,,,,,,
"Hi there, do you have a kidsâ€™ menu?",,How much for a plain burger with fries?,I can only pay with my card.,I would like a Smoky Bacon Whopper with 4 Nuggets and a Fanta.,I would like a Smoky Bacon Whopper with extra cheese and bacon,What's inside a Large Fries,,I need someone to come and take care of my order.,,,,,,,,,,,,
"Hey, can I get help with adjusting my order?",Do you sell salads?,What’s the price of a double bacon burger?,"I’ll pay by card, is that okay?",Please bring me 6 Chilli Bites with a Cheese Burger and a Coke.,Please bring me  a Cheese Burger with no mustard,Is there mayo in the PB Whopper,,Can you get someone who knows about the new items on the menu?,,,,,,,,,,,,
"Hi, I am here for a take-away. Can you help?",,How much is a meal upgrade?,I’ll use my credit card to pay.,I’m going to have a Chimichuri Chicken meal with a bottle of water.,I’m going to have a Chimichuri Chicken with ketchup,Do you use onion in the Classic Double Melt,,Can I ask a staff member for a recommendation?,,,,,,,,,,,,
"Hi, I would like to place a family order.",Do you have any halal options?,How much for a dessert with a meal?,Can I pay with my Visa/Mastercard?,Could I have a Bacon Stacker and some Fries with a Diet Coca-Cola?,Could I have a Bacon Stacker with cheese and bacon,Does the Ham Burger have ketchup,,Can you ask someone to help me with my order changes?,,,,,,,,,,,,
"Good day, can I get help with a bulk order?",,How much are your smoothies?,Can I use my card to pay the bill?,I would like to order a Classic Double Melt and some large fries.,I would like to order a Classic Double Melt with bacon and cheese.,What goes into making a Sprite,,Can I speak to someone about an error in my order?,,,,,,,,,,,,
"Hey, I am here for pick-up. Can you assist?",What desserts are on the menu?,What’s the price of a vegan wrap?,I’ll pay using my card.,"Yes, I’ll have a Steakhouse Chicken with 6 Chilli Bites and a Fanta.","Yes, I’ll have a Steakhouse Chicken with heavy barbeque sauce",Can you tell me what's in a Crispy Chicken,,"I’m looking for a specific meal, can you get someone to help me?",,,,,,,,,,,,
"Hello, I would like to finalize my dine-in order.",,How much is a meal without fries?,I prefer paying with my card.,I want a Chicken Royale with a side of Bacon Loaded Fries.,I want a Chicken Royale only mayo please,What's inside a Whopper,,,,,,,,,,,,,,
"Hi, I am looking for quick service. Can you assist?",Can I see a list of all the dips?,Do you have any £1 items?,,Can I get a Whopper with some 20 Chilli Bites and a Diet Coca-Cola?,Can I get a Whopper with only mayo and ketchup,Does the Diet Cocacola have sugar,,Can someone help me understand the combo offers?,,,,,,,,,,,,
,,How much for a burger with extra bacon?,,Could I have a Vegan Royale and some Fries with a Coke Zero?,Could I have a Vegan Royale only lettuce,What are the ingredients of the Double Whopper,,"I’m confused about the menu, could someone explain it to me?",,,,,,,,,,,,
,,How much is the cheapest meal deal?,,Please give me a PB Whopper with a Diet Coca-Cola and some 9 Nuggets.,Please give me a PB Whopper with heavy lettuce and no onion,Is there pickles in the Smoky bacon whopper,,Could I speak to someone about the delivery options?,,,,,,,,,,,,
,What drinks do you have besides soda?,How much do you charge for iced coffee?,,"I’d like a Bacon Double X L and a large Fanta, please.",I’d like a Bacon Double X L plain,Do you use mustard in the Cheese Burger,,"I need assistance with my payment method, can someone help me?",,,,,,,,,,,,
,,What’s the price for a large Whopper meal?,,I’ll take a Cheese Burger with a large Sprite Zero and 6 Doritos.,I’ll take a Cheese Burger with no pickel and mustard,Does the 9 Chilli Bites have crispy onion,,"I’m unsure about my order, can someone review it for me?",,,,,,,,,,,,
,,How much is an extra side of fries?,,Could you bring me a Chimichuri Angus and some Fries with a bottle of water?,Could you bring me a Chimichuri Angus with lettuce,Can you share the ingredients for the Chimichuri Angus,,Can I get some assistance with ordering for a group?,,,,,,,,,,,,
,Do you guys offer any smoothies?,How much is a burger without the bun?,,"I want a Bacon Stacker and 6 Chilli Bites, please.",I want a Bacon Stacker with heavy bacon ,What are the ingredients of the 20 Nuggets,,Can someone explain the new meal options to me?,,,,,,,,,,,,
,Do you sell donuts or pastries?,How much are your dip pots?,,Please get me a Whopper and a side of large fries.,Please get me a Whopper with bacon,What's inside a Sprite Zero,,Can you get a staff member to guide me through the menu?,,,,,,,,,,,,
,Are there any new items on the menu?,How much is the cheapest drink?,,"I would like to order 9 Chilli Bites with a PB Whopper, thanks.",I would like to order a double PB Whopper,What goes into making a Tea,,Can I speak with someone about the loyalty program?,,,,,,,,,,,,
,What’s your spiciest item?,How much is a meal for two?,,"Yes, I’ll have a Chicken Royale and 5 Doritos.","Yes, I’ll have a double Chicken Royale.",Is there beef in the Classic Double Melt,,"I have a question about the calorie count, can someone help me?",,,,,,,,,,,,
,,How much do your breakfast combos cost?,,I’d like a Steakhouse Chicken with 9 Nuggets and a Coca-Cola Classic.,I’d like a double Steakhouse Chicken.,Do you use cheese in the Cheese Loaded Fries,,Can someone help me with a specific food request?,,,,,,,,,,,,
,Do you have iced coffee?,,,Could you bring me a Classic Double Melt and 6 Doritos?,Could you bring me a Classic Double Melt with more meat,Does the PB Whopper have tomato,,"I need to know more about the ingredients, can you get someone to assist me?",,,,,,,,,,,,
,,,,I’ll have a Smoky Bacon Whopper with a large Fanta and some fries.,I’ll have a Smoky Bacon Whopper with only onion and sauce,What are the ingredients of the Large Fries,,Can I talk to a manager about this issue?,,,,,,,,,,,,
,,,,Please bring me a Chicken Royale with 3 Chilli Bites.,Please bring me a Chicken Royale with onion,Can you tell me what's in a Spicy Mayo,,"I’m not sure how to place my order, can someone assist me?",,,,,,,,,,,,
,Do you offer combo deals for families?,,,"I would like to order 20 Chilli Bites with a Whopper, please.","I would like to order a Whopper with heavy onion, please.",What's inside a Double Whopper,,Can I ask someone to help me with an order modification?,,,,,,,,,,,,
,,,,"Yes, I’d like a Chimichuri Chicken and a side of Bacon Loaded Fries.","Yes, I’d like a Bacon Loaded Fries heavy cheese sauce and bacon.",Does the Chicken Royale have lettuce,,I need help deciding between two meals; can someone assist?,,,,,,,,,,,,
,,,,"I want a Cheese Burger with large fries and a Sprite Zero, please.","I want a Cheese Burger with no pickel, no pickel",What goes into making a Sprite,,Can someone guide me through the ordering process?,,,,,,,,,,,,
,,,,Could you get me a Classic Double Melt and some 9 Nuggets?,Could you get me a Classic Double Melt with bacon,Is there onion in the Crispy Chicken,,I need someone to confirm my order before I pay.,,,,,,,,,,,,
,,,,I would love a Steakhouse Angus with some small fries and a Fanta.,I would love a double Steakhouse Angus,Do you use mayo in the Whopper,,Can I speak to someone about dietary restrictions?,,,,,,,,,,,,
,,,,I want 20 Chilli Bites and a Whopper meal with a Coke Zero.,I want a Whopper with cheese,Does the Bacon Double X L have cheese,,Could you help me place a special order for delivery?,,,,,,,,,,,,
,,,,"Yes, I’d like a Vegan Royale and a Diet Coca-Cola with large fries.","Yes, I’d like a double Vegan Royale ",What are the ingredients of the Cocacola Zero,,Can someone explain the offers on the menu?,,,,,,,,,,,,
,,,,I’ll take a Bacon Double X L and 6 Doritos with a Diet Coca-Cola.,I’ll take a Bacon Double X L with barbeque sauce in it,What's inside a 4 Chilli Bites,,,,,,,,,,,,,,
,,,,Please give me 4 Nuggets with a small Sprite Zero and a Bacon Stacker.,Please give me a Bacon Stacker with cheese.,What goes into making a Tea,,Can I talk to a staff member about how to customize a burger?,,,,,,,,,,,,
,,,,Could I have a Chimichuri Angus with 20 Chilli Bites and a bottle of water?,Could I have a Chimichuri Angus with heavy cheese,Does the Ham Burger have beef,,Can you get a supervisor to review my order?,,,,,,,,,,,,
,,,,"Yes, I’d like a Classic Double Melt with a side of Fries and a Fanta.","Yes, I’d like a Classic Double Melt plain.",What are the ingredients of the Sprite Zero,,I have some dietary requirements; can someone assist me with ordering?,,,,,,,,,,,,
,,,,"I want a Whopper and a large Sprite Zero, please.",I want a Whopper cheese,Can you tell me what's in a PB Whopper,,,,,,,,,,,,,,
,,,,I’d like 9 Chilli Bites with a Cheeseburger and a Diet Coca-Cola.,I’d a Cheeseburger no mustard and ketchup,Is there ketchup in the Classic Double Melt,,Can I speak to someone about a discount code I have?,,,,,,,,,,,,
,,,,Please get me a PB Whopper and some large fries with a bottle of water.,Please get me a PB Whopper plain,Do you use pickles in the Smoky bacon whopper,,Could someone help me understand the meal customization options?,,,,,,,,,,,,
,,,,Could you bring me a Smoky Bacon Whopper and a Diet Coca-Cola?,Could you bring me a Smoky Bacon Whopper no tomato,Does the 20 Nuggets have cheese chilli bites,,I have a question about an ingredient; can someone assist me?,,,,,,,,,,,,
,,,,"I’ll take a Chicken Royale with Fries and a large Fanta, thanks.",I’ll take a Chicken Royale plain,What are the ingredients of the Cocacola,,I’d like to get help ordering a meal for a large group.,,,,,,,,,,,,
,,,,"Yes, I’d like to order a Steakhouse Chicken meal with some small fries.","Yes, I’d like to order a Steakhouse Chicken heavy barbeque sauce",What's inside a Cheese Loaded Fries,,Can I ask someone about the nutritional information for a meal?,,,,,,,,,,,,
,,,,Please bring me 4 Chilli Bites with a large Sprite Zero.,,What goes into making a Chicken Royale,,"I need help with a refund process, can someone help me?",,,,,,,,,,,,
,,,,"I want a Chicken Royale and a 6-piece Nuggets meal, please.",I want a Chicken Royale with onion,Is there mayo in the Cheese Burger,,,,,,,,,,,,,,
,,,,I would like a PB Whopper with large fries and a Fanta.,I would like a PB Whopper cheese and bacon.,Do you use bacon in the Bacon Double X L,,Can you get a staff member to come explain the new items?,,,,,,,,,,,,
,,,,"Could you get me a Bacon Double X L and 3 Chilli Bites, please?",Could you get me a Bacon Double X L with letteuce,Does the Crispy Chicken have tomato,,I need help confirming the price for an order.,,,,,,,,,,,,
,,,,I’ll take a Vegan Royale with large fries and a Diet Coca-Cola.,I’ll take a Vegan Royale with heavy mayo and extra lettuce,What are the ingredients of the Sprite,,,,,,,,,,,,,,
,,,,Please bring me a Chimichuri Angus with some Fries and a large Sprite Zero.,Please bring me a Chimichuri Angus with extra cheese and bacon .,Can you share the ingredients for the Whopper,,I need assistance choosing a vegetarian option.,,,,,,,,,,,,
,,,,"Yes, I’ll have a Whopper with a side of 4 Nuggets and a Diet Coca-Cola.","Yes, I’ll have a Whopper no mayo and no ketchup",What's inside a Chimichuri Angus,,Can I speak with a manager about an issue with my last meal?,,,,,,,,,,,,
,,,,"I’ll have a Whopper, please.",I’ll have a Whopper with bacon.,Does the Large Fries have ketchup,,Can someone explain the new menu changes to me?,,,,,,,,,,,,
,,,,"One Bacon Double X L, please.",One Bacon Double X L heavy bacon.,What goes into making a Spicy Mayo,,,,,,,,,,,,,,
,,,,Can I get a Coke Zero?,Can I get a Coke Zero no ice?,Is there lettuce in the PB Whopper,,Can someone assist me in understanding the meal prep time?,,,,,,,,,,,,
,,,,Just a Chicken Royale for me.,Just a plain Chicken Royale for me.,Do you use onion in the 9 Chilli Bites,,,,,,,,,,,,,,
,,,,I’d like a small Sprite.,I’d like a small Sprite with no ice.,Does the Ham Burger have mustard,,,,,,,,,,,,,,
,,,,"Give me a classic Double Melt, thanks!","Give me a classic Double Melt with cheese, thanks!",What are the ingredients of the Tea,,,,,,,,,,,,,,
,,,,"I want a 6-piece nugget, please.",,Can you tell me what's in a Classic Double Melt,,,,,,,,,,,,,,
,,,,"I’d love a 9 Chilli Bites, thanks!",,What's inside a Cocacola Zero,,,,,,,,,,,,,,
,,,,Can you give me a Ham Burger?,Can you give me a double Ham Burger?,Does the Smoky bacon whopper have beef,,,,,,,,,,,,,,
,,,,A small Fanta would be great.,,What goes into making a Sprite Zero,,,,,,,,,,,,,,
,,,,Please get me a Cheese Loaded Fries.,Please get me a Cheese Loaded Fries with heavy cheese sauce.,,,,,,,,,,,,,,,
,,,,"I’m going to need a Steakhouse Chicken, thanks!","I’m going to need a Steakhouse Chicken no lettuce no onion, thanks!",,,,,,,,,,,,,,,
,,,,"Just the 5 Doritos, please.","Just the 5 Doritos without dust, please.",,,,,,,,,,,,,,,
,,,,"One Bacon Stacker, please.","One Bacon Stacker more bacon, please.",,,,,,,,,,,,,,,
,,,,Could you get me a Whopper with Cheese?,Could you get me a Whopper with Cheese?,,,,,,,,,,,,,,,
,,,,"I’ll take a Sprite Zero with that, please.",I’ll take a Sprite Zero without ice please.,,,,,,,,,,,,,,,
,,,,How about a Barbeque Double Melt?,How about a Barbeque Double Melt with bacon?,,,,,,,,,,,,,,,
,,,,Could I please get a Chimichuri Chicken?,Could I please get a Chimichuri Chicken with extra onion?,,,,,,,,,,,,,,,
,,,,I’ll just have the Vegan Royale for today.,I’ll just have the Vegan Royale cheese for today.,,,,,,,,,,,,,,,
,,,,"I need a Barbeque Sauce with that, thanks.",,,,,,,,,,,,,,,,
,,,,"I’ll have 3 Whopper, please.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,i would like 2 coke,,,,,,,,,,,,,,,,
,,,,"Hello, I would like to order 2 chicken royale meal please",,,,,,,,,,,,,,,,
,,,,"Yes, 3 large fanta.",,,,,,,,,,,,,,,,
,,,,Give me 2 20 Doritos and a 5 Hot Chilli sauce with that.,,,,,,,,,,,,,,,,
